Date	Attacks	Deaths	Total Attacks	Total Deaths
1854-08-19	1	1	1	1
1854-08-20	1	0	2	1
1854-08-21	1	2	3	3
1854-08-22	0	0	3	3
1854-08-23	1	0	4	3
1854-08-24	1	2	5	5
1854-08-25	0	0	5	5
1854-08-26	1	0	6	5
1854-08-27	1	1	7	6
1854-08-28	1	0	8	6
1854-08-29	1	1	9	7
1854-08-30	8	2	17	9
1854-08-31	56	3	73	12
1854-09-01	143	70	216	82
1854-09-02	116	127	332	209
1854-09-03	54	76	386	285
1854-09-04	46	71	432	356
1854-09-05	36	45	468	401
1854-09-06	20	37	488	438
1854-09-07	28	32	516	470
1854-09-08	12	30	528	500
1854-09-09	11	24	539	524
1854-09-10	5	18	544	542
1854-09-11	5	15	549	557
1854-09-12	1	6	550	563
1854-09-13	3	13	553	576
1854-09-14	0	6	553	582
1854-09-15	1	8	554	590
1854-09-16	4	6	558	596
1854-09-17	2	5	560	601
1854-09-18	3	2	563	603
1854-09-19	0	3	563	606
1854-09-20	0	0	563	606
1854-09-21	2	0	565	606
1854-09-22	1	2	566	608
1854-09-23	1	3	567	611
1854-09-24	1	0	568	611
1854-09-25	1	0	569	611
1854-09-26	1	2	570	613
1854-09-27	1	0	571	613
1854-09-28	0	2	571	615
1854-09-29	0	1	571	616